timestamp,product_id,product_name,category,quantity_sold,stock_level,price,expiry_date,weather
2024-01-01 00:00:00,P013,Chicken,Proteins,4,111,422.23,2024-01-08,Hot
2024-01-01 00:00:00,P002,Bread,Bakery,4,140,42.75,2024-01-14,Sunny
2024-01-01 03:00:00,P008,Potatoes,Produce,4,81,21.77,2024-01-05,Hot
2024-01-01 03:00:00,P011,Yogurt,Dairy,7,159,85.64,2024-01-08,Cloudy
2024-01-01 03:00:00,P033,Pav,Bakery,4,118,17.52,2024-01-02,Rainy
2024-01-01 03:00:00,P024,Jeera,Spices,2,98,60.86,2024-04-07,Cloudy
2024-01-01 03:00:00,P039,Soda,Beverages,4,129,43.08,2024-06-01,Hot
2024-01-01 06:00:00,P009,Bananas,Produce,5,107,27.66,2024-01-02,Hot
2024-01-01 06:00:00,P046,Tomato Puree,Produce,5,65,58.12,2024-01-07,Sunny
2024-01-01 06:00:00,P041,Peas,Produce,10,99,9.38,2024-01-02,Hot
2024-01-01 06:00:00,P039,Soda,Beverages,6,142,72.44,2024-06-13,Cloudy
2024-01-01 06:00:00,P017,Tea,Beverages,7,108,87.08,2024-06-06,Rainy
2024-01-01 09:00:00,P049,Chikki,Snacks,5,86,30.71,2024-02-17,Rainy
2024-01-01 09:00:00,P007,Tomatoes,Produce,3,107,21.69,2024-01-11,Cloudy
2024-01-02 00:00:00,P001,Milk,Dairy,4,57,88.24,2024-01-06,Rainy
2024-01-02 00:00:00,P001,Milk,Dairy,2,139,34.12,2024-01-11,Sunny
2024-01-02 03:00:00,P050,Farsan,Snacks,9,74,16.07,2024-02-27,Rainy
2024-01-02 03:00:00,P022,Coriander,Spices,6,88,70.0,2024-04-06,Rainy
2024-01-02 06:00:00,P048,Dates,Produce,3,109,17.6,2024-01-11,Rainy
2024-01-02 06:00:00,P020,Chips,Snacks,3,93,42.26,2024-04-25,Rainy
2024-01-02 06:00:00,P038,Lassi,Beverages,6,113,42.04,2024-02-13,Sunny
2024-01-02 06:00:00,P018,Biscuits,Snacks,4,84,56.03,2024-02-11,Sunny
2024-01-02 09:00:00,P031,Green Tea,Beverages,6,73,22.57,2024-05-21,Sunny
2024-01-02 09:00:00,P029,Mango,Produce,8,115,33.22,2024-01-12,Rainy
2024-01-02 09:00:00,P003,Eggs,Dairy,4,47,107.13,2024-01-05,Hot
2024-01-02 09:00:00,P050,Farsan,Snacks,3,108,42.27,2024-05-11,Sunny
2024-01-03 03:00:00,P036,Chutney,Spices,7,42,29.73,2024-04-14,Rainy
2024-01-03 03:00:00,P029,Mango,Produce,6,118,37.09,2024-01-10,Hot
2024-01-03 03:00:00,P048,Dates,Produce,6,113,52.29,2024-01-07,Hot
2024-01-03 03:00:00,P022,Coriander,Spices,8,154,95.61,2024-02-29,Cloudy
2024-01-03 03:00:00,P029,Mango,Produce,5,124,48.93,2024-01-13,Cloudy
2024-01-03 03:00:00,P024,Jeera,Spices,4,72,31.63,2024-05-25,Sunny
2024-01-03 06:00:00,P048,Dates,Produce,4,131,5.32,2024-01-16,Hot
